timestamp,container_name,value
1750770921,ebpf-mon,0
1750770922,ebpf-mon,2
1750770923,ebpf-mon,1
1750770925,ebpf-mon,1
1750770926,ebpf-mon,1
1750770927,ebpf-mon,1
1750770928,ebpf-mon,1
1750770929,ebpf-mon,1
1750770931,ebpf-mon,1
1750770932,ebpf-mon,1
1750770933,ebpf-mon,1
1750770934,ebpf-mon,1
1750770935,ebpf-mon,1
1750770937,ebpf-mon,1
1750770938,ebpf-mon,1
1750770939,ebpf-mon,1
1750770940,ebpf-mon,1
1750770941,ebpf-mon,1
1750770943,ebpf-mon,1
1750770944,ebpf-mon,1
1750770945,ebpf-mon,1
1750770946,ebpf-mon,1
